voted_up,playtime_recorded,playtime_last_2W,has_engagement,cluster
1,0.6852507260299548,0.7739406539598548,0,2
1,0.6853384400055109,0.7739877538673892,0,2
1,0.6792367896023053,0.7739877538673892,0,2
1,0.6883780128940257,0.7739406539598548,0,2
1,0.5999218350054448,0.7739406539598548,0,2
1,0.685447945336757,0.7739877538673892,0,2
1,0.6851079822276114,0.7739406539598548,0,2
1,0.6860648932907593,0.7739406539598548,0,2
1,0.6845543312862413,0.7739877538673892,0,2
1,0.6863380302515029,0.7739877538673892,0,2
1,0.6805472285864272,0.6991694908829101,0,2
1,0.68569704987647,0.7739877538673892,0,2
1,0.6840547020708008,0.7739877538673892,0,2
1,0.6834486898496992,0.7739877538673892,0,2
1,0.7476339461931638,0.06994655641028122,0,2
1,0.619944667441185,0.702570779876803,0,2
1,0.8215827432935738,0.7742229242140021,0,2
1,0.8327068950179762,0.7816475696317341,0,2
1,0.638504409147644,0.7854592376775313,0,2
1,0.7432099027418182,0.839481784844048,0,2
1,0.8137620154348331,0.757168587183345,0,2
1,0.8630259926785105,0.7464994012167241,0,2
1,0.8168956098358766,0.6681763078980322,0,2
1,0.0319471080738524,0.2217253379297455,0,2
1,0.0402485961997788,0.23235743087993693,0,2
1,0.0402485961997788,0.23235743087993693,0,2
1,0.060920608030261,0.258833015487801,0,2
1,0.022666833904423478,0.20983966923084363,0,2
1,0.7190703515795027,0.8014402176347462,0,2
1,0.29695813823871975,0.5611370027780191,0,2
1,0.6835182488444039,0.7068734995719134,0,2
1,0.4041134583653878,0.6657281987515083,0,2
1,0.1318947178609752,0.0,0,2
1,0.2944957108560853,0.5579832601696908,0,2
1,0.3498874603675738,0.3906488946059976,0,2
1,0.6413665997033039,0.20983966923084363,0,2
1,0.8240800586762923,0.7676726515618003,0,2
1,0.8263353436839225,0.730809756537502,1,1
1,0.6984794289266298,0.8597653246132155,0,2
0,0.17312210010425652,0.0,0,0
1,0.054613941978275876,0.2507557817854352,0,2
1,0.7679952875163519,0.8081365831503986,0,2
1,0.8682971159812237,0.48311321266537205,0,2
1,0.8236175883687962,0.6692455793601408,1,1
1,0.8958914683541684,0.8458929138605481,0,2
1,0.8916076742926605,0.7658516418448628,0,2
0,0.2567095420389409,0.0,0,0
1,0.59343460004392,0.8290709083874025,0,2
0,0.7184695836572432,0.6878873840629989,0,0
1,0.8656723005577011,0.7790389768629049,0,2
1,0.9342817705869758,0.7867952810255364,0,2
1,0.80539632393169,0.766411556043344,0,2
1,0.18650865983925105,0.20983966923084363,0,2
1,0.7265706112190252,0.6083229296721304,0,2
0,0.7683032817614014,0.6602109867612681,0,0
1,0.48120928957093556,0.7690666171917571,1,1
1,0.3495772581430544,0.0,0,2
1,0.8771146656328365,0.8707570306707845,1,1
0,0.8578915894192022,0.9002915832290115,1,3
0,0.3709514397943138,0.6559035853349059,1,3
1,0.6118367183503208,0.7347064395064835,0,2
1,0.7910113964543637,0.8335008415966341,0,2
1,0.8586886261287054,0.8802255042266517,0,2
0,0.7301837820360992,0.7800639208259216,0,0
0,0.6707039412870712,0.6866641987828395,0,0
1,0.6858169508328322,0.7196707512544682,0,2
0,0.8346967027034491,0.7776862548634139,0,0
0,0.7363125760453196,0.8674734241579934,0,0
1,0.619999933115111,0.6314709360557915,0,2
1,0.7430256867169847,0.6236350599189995,0,2
0,0.6181605229974739,0.8405100045848218,0,0
1,0.8405297193458844,0.7772768768169335,0,2
1,0.7536607953964525,0.7040882753912766,0,2
1,0.73938048788857,0.7316728684284808,0,2
1,0.0402485961997788,0.0,0,2
0,0.6547590230899415,0.7354680397257745,0,0
0,0.8325216405380083,0.8272818936454395,0,0
0,0.41613686435481,0.7137746111839548,1,3
0,0.20107892449334738,0.3023039872902181,1,3
0,0.822133771331479,0.4657189650698806,0,0
1,0.8159276975478849,0.838169136036393,0,2
0,0.8850115041509524,0.7615768564641072,1,3
1,0.11553455000853688,0.32877957189808227,0,2
1,0.4844455841214733,0.588799795785894,0,2
1,0.29604372259913125,0.5599658691297218,0,2
1,0.7371254763677865,0.6463615321907041,0,2
0,0.3478489657271565,0.4062044786502265,1,3
0,0.7102085452958655,0.630889311678734,0,0
1,0.7659508278529058,0.8653822110676954,0,2
0,0.5011469879479694,0.0,0,0
1,0.5808502380375384,0.7935720280870467,0,2
0,0.597867007831703,0.8024397034856275,1,3
0,0.7129387033146855,0.7298663119447049,0,0
0,0.8417134911787272,0.6774148156977144,1,3
1,0.10237214764594207,0.31192188527080544,0,2
1,0.870474345682917,0.7053046555811212,0,2
